"","sentiment","mar29","mar30","mar31","apr1","apr2","apr3","apr4","apr5","apr6","apr7","apr8","apr9","apr10","apr11"
"1","anger",7725,11171,9728,8338,9623,7641,8747,9326,9123,7577,8945,7786,7509,9410
"2","anticipation",11708,11660,13293,12991,12865,12926,14446,14262,14572,12010,12244,12818,12972,13245
"3","disgust",5069,9702,7341,5050,6839,4287,4410,5594,5670,4437,5891,4562,4807,6768
"4","fear",15381,18103,18766,15544,17558,15037,17857,18927,17626,15452,16927,14350,14478,16429
"5","joy",7480,7184,9183,8342,7772,7643,11415,8873,9703,8146,7955,8666,9333,8853
"6","sadness",9016,14305,12560,9902,14308,10374,12003,12767,13408,10570,12437,10337,10389,12611
"7","surprise",4323,5184,8216,5937,6020,4902,5369,6545,7533,5548,7232,6241,5986,6319
"8","trust",18736,16665,19719,18473,19586,18117,19520,21192,22530,20763,18629,20816,19901,19761
"9","negative",19737,22900,25322,21958,24787,19847,23729,23537,24471,19968,23232,20905,21105,23200
"10","positive",28099,24497,29032,28540,30294,28589,31850,29418,29462,31526,27847,29939,29802,31866
